Código,Cód. Pai,nome,JMETJM
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,X
386,385,Execução da Pena,X
12729,385,Execução de Medidas Alternativas no Juízo Comum,X
12727,385,Execução de Pena de Multa,X
1714,385,Execução Provisória,X
406,385,Incidentes,X
409,406,Anistia,X
411,406,Comutação de Pena,X
407,406,Conversão de Pena,X
408,406,Excesso ou Desvio,X
410,406,Indulto,X
1283,406,Superveniência de doença mental,X
1288,406,Transferência entre estabelecimentos penais,X
1284,406,Unificação de penas,X
12728,385,Transferência Entre Estabelecimentos Penais,X
1198,,PROCEDIMENTOS ADMINISTRATIVOS ,X
1680,1198,Consulta Administrativa,X
1303,1198,Correição Extraordinária,X
1307,1198,Correição Ordinária,X
88,1198,Correição Parcial ou Reclamação Correicional,X
1304,1198,Inspeção,X
12248,1198,Pedido de Cooperação Judiciária,X
1199,1198,Pedido de Providências,X
1265,1198,Precatório,X
1298,1198,Processo Administrativo,X
1264,1198,Processo Administrativo Disciplinar em face de Magistrado,X
1262,1198,Processo Administrativo Disciplinar em face de Servidor,X
1301,1198,Reclamação Disciplinar,X
1299,1198,Recurso Administrativo,X
1306,1198,Recurso em Processo Administrativo Disciplinar em face de Servidor,X
256,1198,Representação por Excesso de Prazo,X
1266,1198,Requisição de Pequeno Valor,X
1308,1198,Sindicância,X
11099,,PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS ,X
12136,11099,Pedido de Mediação Pré-Processual,X
2,,PROCESSO CÍVEL E DO TRABALHO ,X
214,2,Outros Procedimentos,X
237,214,Atos e expedientes,X
238,237,Avocatória,X
240,237,Instrução de Rescisória,X
12357,237,Pedido de Efeito Suspensivo à Apelação,X
241,237,Petição Cível,X
257,214,Cartas,X
258,257,Carta de Ordem Cível,X
261,257,Carta Precatória Cível,X
264,257,Carta Rogatória Cível,X
215,214,Incidentes,X
218,215,Assistência Judiciária,X
221,215,Conflito de competência cível,X
224,215,Exceções,X
1230,224,Exceção de Impedimento,X
1232,224,Exceção de Incompetência,X
1231,224,Exceção de Suspeição,X
228,215,Exibição de Documento ou Coisa Cível,X
230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,X
231,215,Impugnação ao Valor da Causa Cível,X
1702,215,Impugnação de Assistência Judiciária,X
216,215,Incidente De Arguição de Inconstitucionalidade Cível,X
12087,215,Incidente de Assunção de Competência,X
232,215,Incidente de Falsidade,X
12080,215,Incidente de Impedimento Cível,X
12085,215,Incidente de Resolução de Demandas Repetitivas,X
12081,215,Incidente de Suspeição Cível,X
233,215,Incidente de Uniformização de Jurisprudência,X
175,2,Processo Cautelar,X
178,175,Arresto ,X
181,175,Busca e Apreensão,X
183,175,Cautelar Inominada,X
1723,175,Contraprotesto Judicial,X
186,175,Exibição,X
1726,175,Interpelação,X
190,175,Justificação,X
1725,175,Notificação,X
193,175,Produção Antecipada da Prova,X
191,175,Protesto,X
196,175,Seqüestro,X
1106,2,Processo de Conhecimento,X
1107,1106,Procedimento de Conhecimento,X
26,1107,Procedimentos Especiais,X
27,26,Procedimentos Especiais de Jurisdição Contenciosa,X
47,27,Ação Rescisória,X
32,27,Consignação em Pagamento,X
37,27,Embargos de Terceiro Cível,X
38,27,Habilitação,X
12375,27,Reclamação,X
46,27,Restauração de Autos Cível,X
50,26,Procedimentos Especiais de Jurisdição Voluntária,X
12227,50,Interpelação,X
12226,50,Notificação,X
12228,50,Protesto,X
62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos",X
1269,62,Habeas Corpus Cível,X
110,62,Habeas Data Cível,X
118,62,Mandado de Injunção,X
120,62,Mandado de Segurança Cível,X
244,62,Reclamação,X
145,62,Suspensão de Execução de Sentença,X
11555,62,Suspensão de Liminar e de Sentença,X
144,62,Suspensão de Liminar ou Antecipação de Tutela,X
11556,62,Suspensão de Segurança Cível,X
155,1106,Procedimento de Cumprimento de Sentença/Decisão,X
156,155,Cumprimento de sentença,X
10980,155,Cumprimento Provisório de Decisão,X
157,155,Cumprimento Provisório de Sentença,X
10981,155,Impugnação ao Cumprimento de Decisão,X
229,155,Impugnação ao Cumprimento de Sentença,X
150,1106,Procedimento de Liquidação,X
152,150,Liquidação de Sentença pelo Procedimento Comum,X
151,150,Liquidação por Arbitramento,X
154,150,Liquidação Provisória de Sentença pelo Procedimento Comum,X
153,150,Liquidação Provisória por Arbitramento,X
158,2,Processo de Execução,X
169,158,Embargos,X
172,169,Embargos à Execução,X
1111,158,Execução de Título Judicial,X
1114,1111,Execução Contra a Fazenda Pública,X
197,2,Recursos,X
200,197,Agravos,X
202,200,Agravo de Instrumento,X
204,200,Agravo de Instrumento em Recurso Extraordinário,X
1208,200,Agravo Interno Cível,X
206,200,Agravo Regimental Cível,X
1728,197,Apelação / Remessa Necessária,X
198,197,Apelação Cível,X
10942,197,Correição Parcial Cível,X
207,197,Embargos,X
1689,207,Embargos de Declaração Cível,X
208,207,Embargos Infringentes,X
199,197,Remessa Necessária Cível,X
12133,2,Tutela Provisória de Urgência e Tutela Provisória de Evidência,X
12135,12133,Tutela Antecipada Antecedente,X
12134,12133,Tutela Cautelar Antecedente,X
268,,PROCESSO CRIMINAL ,X
